datetime,symbol,open,high,low,close,volume,SMA20,SMA50
2022-01-03 20:00:00,NASDAQ:AAPL,177.83,182.88,177.71,182.01,104701220.0,175.48999999999998,162.74820000000003
2022-01-04 20:00:00,NASDAQ:AAPL,182.63,182.94,179.12,179.7,99310438.0,176.209,163.3684
2022-01-05 20:00:00,NASDAQ:AAPL,179.61,180.17,174.64,174.92,94537602.0,176.396,163.894
2022-01-06 20:00:00,NASDAQ:AAPL,172.7,175.3,171.64,172.0,96903955.0,176.242,164.34759999999997
2022-01-07 20:00:00,NASDAQ:AAPL,172.89,174.14,171.03,172.17,86709147.0,176.1225,164.81400000000002
2022-01-10 20:00:00,NASDAQ:AAPL,169.08,172.5,168.17,172.19,106765552.0,175.7595,165.2064
2022-01-11 20:00:00,NASDAQ:AAPL,172.32,175.18,170.82,175.08,76138312.0,175.7265,165.71200000000002
2022-01-12 20:00:00,NASDAQ:AAPL,176.12,177.18,174.82,175.53,74805173.0,175.7865,166.2434
2022-01-13 20:00:00,NASDAQ:AAPL,175.78,176.62,171.79,172.19,84505760.0,175.43099999999998,166.6868
2022-01-14 20:00:00,NASDAQ:AAPL,171.34,173.78,171.09,173.07,80440780.0,175.4715,167.1184
2022-01-18 20:00:00,NASDAQ:AAPL,171.51,172.54,169.405,169.8,91168729.0,175.4045,167.49519999999995
2022-01-19 20:00:00,NASDAQ:AAPL,170.0,171.08,165.94,166.23,94814990.0,175.2285,167.79420000000002
2022-01-20 20:00:00,NASDAQ:AAPL,166.98,169.68,164.18,164.51,91420515.0,174.8045,168.0756
2022-01-21 20:00:00,NASDAQ:AAPL,164.415,166.33,162.3,162.41,122848858.0,174.143,168.3076
2022-01-24 20:00:00,NASDAQ:AAPL,160.02,162.3,154.7,161.62,162706686.0,173.41,168.5816
2022-01-25 20:00:00,NASDAQ:AAPL,158.98,162.76,157.02,159.78,115798367.0,172.3825,168.8198
2022-01-26 20:00:00,NASDAQ:AAPL,163.5,164.3894,157.82,159.69,108275308.0,171.40249999999997,169.0138
2022-01-27 20:00:00,NASDAQ:AAPL,162.45,163.84,158.28,159.22,121954638.0,170.3945,169.19819999999999
2022-01-28 20:00:00,NASDAQ:AAPL,165.71,170.35,162.8,170.33,179935660.0,170.001,169.5848
2022-01-31 20:00:00,NASDAQ:AAPL,170.16,175.0,169.51,174.78,115541590.0,169.8615,170.0106
2022-02-01 20:00:00,NASDAQ:AAPL,174.01,174.84,172.31,174.61,86213911.0,169.4915,170.34539999999998
2022-02-02 20:00:00,NASDAQ:AAPL,174.745,175.88,173.33,175.84,84914256.0,169.2985,170.6512
2022-02-03 20:00:00,NASDAQ:AAPL,174.48,176.2399,172.12,172.9,89418074.0,169.19750000000002,170.88879999999997
2022-02-04 20:00:00,NASDAQ:AAPL,171.68,174.1,170.68,172.39,82465400.0,169.217,171.1084
2022-02-07 20:00:00,NASDAQ:AAPL,172.86,173.9458,170.95,171.66,77251204.0,169.1915,171.3028
2022-02-08 20:00:00,NASDAQ:AAPL,171.73,175.35,171.43,174.83,74829217.0,169.32350000000002,171.6632
2022-02-09 20:00:00,NASDAQ:AAPL,176.05,176.65,174.9,176.28,71285038.0,169.3835,171.984
2022-02-10 20:00:00,NASDAQ:AAPL,174.14,175.48,171.55,172.12,90865899.0,169.213,172.12040000000002
2022-02-11 20:00:00,NASDAQ:AAPL,172.33,173.08,168.04,168.64,98670687.0,169.0355,172.1978
2022-02-14 20:00:00,NASDAQ:AAPL,167.37,169.58,166.56,168.88,86185530.0,168.826,172.30020000000002
2022-02-15 20:00:00,NASDAQ:AAPL,170.97,172.95,170.25,172.79,64286320.0,168.97549999999998,172.51919999999998
2022-02-16 20:00:00,NASDAQ:AAPL,171.85,173.34,170.05,172.55,61177398.0,169.29149999999998,172.6638
2022-02-17 20:00:00,NASDAQ:AAPL,171.03,171.91,168.47,168.88,69589344.0,169.51000000000002,172.6178
2022-02-18 20:00:00,NASDAQ:AAPL,169.82,170.5413,166.19,167.3,82772674.0,169.75449999999998,172.46220000000002
2022-02-22 20:00:00,NASDAQ:AAPL,164.98,166.69,162.15,164.32,91162758.0,169.8895,172.25740000000002
2022-02-23 20:00:00,NASDAQ:AAPL,165.54,166.15,159.75,160.07,90009247.0,169.90400000000002,171.8698
2022-02-24 20:00:00,NASDAQ:AAPL,152.58,162.85,152.0,162.74,141147540.0,170.0565,171.6098
2022-02-25 20:00:00,NASDAQ:AAPL,163.84,165.12,160.8738,164.85,91974222.0,170.338,171.4202
2022-02-28 20:00:00,NASDAQ:AAPL,163.06,165.42,162.43,165.12,95056629.0,170.07750000000001,171.1366
2022-03-01 20:00:00,NASDAQ:AAPL,164.695,166.6,161.97,163.2,83474425.0,169.49849999999998,170.9554
2022-03-02 20:00:00,NASDAQ:AAPL,164.39,167.36,162.95,166.56,79724750.0,169.096,170.86379999999997
2022-03-03 20:00:00,NASDAQ:AAPL,168.47,168.91,165.55,166.23,76678441.0,168.6155,170.7934
2022-03-04 20:00:00,NASDAQ:AAPL,164.49,165.55,162.1,163.17,83819592.0,168.129,170.59699999999998
2022-03-07 20:00:00,NASDAQ:AAPL,163.36,165.02,159.04,159.3,96418845.0,167.47449999999998,170.27020000000002
2022-03-08 20:00:00,NASDAQ:AAPL,158.82,162.88,155.8,157.44,131148280.0,166.7635,169.8934
2022-03-09 20:00:00,NASDAQ:AAPL,161.475,163.41,159.41,162.95,91454905.0,166.1695,169.54579999999999
2022-03-10 20:00:00,NASDAQ:AAPL,160.2,160.39,155.98,158.52,105342033.0,165.2815,169.1304
2022-03-11 20:00:00,NASDAQ:AAPL,158.93,159.28,154.5,154.73,96970102.0,164.412,168.63739999999999
2022-03-14 19:00:00,NASDAQ:AAPL,151.45,154.12,150.1,150.62,108732111.0,163.511,168.0858
2022-03-15 19:00:00,NASDAQ:AAPL,150.9,155.57,150.38,155.09,92964302.0,162.82150000000001,167.63620000000003
2022-03-16 19:00:00,NASDAQ:AAPL,157.05,160.0,154.46,159.59,102300157.0,162.1615,167.18780000000004
2022-03-17 19:00:00,NASDAQ:AAPL,158.61,161.0,157.63,160.62,75615376.0,161.565,166.8062
2022-03-18 19:00:00,NASDAQ:AAPL,160.51,164.48,159.76,163.98,123511692.0,161.32,166.58739999999997
2022-03-21 19:00:00,NASDAQ:AAPL,163.51,166.35,163.015,165.38,95811352.0,161.224,166.455
2022-03-22 19:00:00,NASDAQ:AAPL,165.51,169.42,164.91,168.82,81532007.0,161.449,166.388
2022-03-23 19:00:00,NASDAQ:AAPL,167.99,172.64,167.65,170.21,98062674.0,161.956,166.3484
2022-03-24 19:00:00,NASDAQ:AAPL,171.06,174.14,170.21,174.07,90131418.0,162.52249999999998,166.3282
2022-03-25 19:00:00,NASDAQ:AAPL,173.88,175.28,172.75,174.72,80546156.0,163.01600000000002,166.312
2022-03-28 19:00:00,NASDAQ:AAPL,172.17,175.73,172.0,175.6,90371916.0,163.54,166.3802
2022-03-29 19:00:00,NASDAQ:AAPL,176.69,179.01,176.34,178.96,100589440.0,164.328,166.498
2022-03-30 19:00:00,NASDAQ:AAPL,178.55,179.61,176.7,177.77,92633154.0,164.8885,166.65740000000002
2022-03-31 19:00:00,NASDAQ:AAPL,177.84,178.03,174.4,174.61,103049285.0,165.3075,166.825
2022-04-01 19:00:00,NASDAQ:AAPL,174.03,174.88,171.94,174.31,78751328.0,165.8645,167.021
2022-04-04 19:00:00,NASDAQ:AAPL,174.57,178.49,174.44,178.44,76545983.0,166.8215,167.3416
2022-04-05 19:00:00,NASDAQ:AAPL,177.5,178.3,174.415,175.06,73401786.0,167.70250000000001,167.6104
2022-04-06 19:00:00,NASDAQ:AAPL,172.36,173.63,170.13,171.83,89058782.0,168.1465,167.85140000000004
2022-04-07 19:00:00,NASDAQ:AAPL,171.16,173.36,169.85,172.14,77594650.0,168.8275,168.1004
2022-04-08 19:00:00,NASDAQ:AAPL,171.78,171.78,169.2,170.09,76575508.0,169.5955,168.31780000000003
2022-04-11 19:00:00,NASDAQ:AAPL,168.71,169.03,165.5,165.75,72246706.0,170.352,168.22620000000003
2022-04-12 19:00:00,NASDAQ:AAPL,168.02,169.87,166.92,167.95,47037670.0,170.99499999999998,168.0896
